AU,worked_at_home,did_not_go_to_work_today,drove_private_car_truck_van,drove_company_car_truck_van,passenger_car_truck_van,bus,train,motorcycle_powercycle,bicycle,walked_jogged,other,total_stated,total_went_to_work,not_elsewhere_included,total
511902,150,210,1107,252,54,57,54,30,12,24,18,1962,1602,48,2010
512000,228,192,1023,225,48,36,30,15,15,21,21,1854,1434,33,1887
512100,87,177,1017,213,54,66,33,21,18,36,15,1737,1470,48,1782
512201,66,114,750,153,57,66,..C,12,21,30,12,1278,1101,36,1314
512202,123,210,1137,228,81,81,9,15,33,45,15,1977,1647,60,2037
512300,132,219,1332,246,81,111,..C,21,36,51,21,2250,1899,69,2319
512401,54,171,888,162,69,69,12,12,15,42,9,1503,1281,48,1551
512402,84,180,1071,231,102,75,..C,12,30,42,9,1833,1569,51,1887
512500,135,267,1557,303,126,135,24,27,33,69,12,2688,2286,99,2790
512600,138,195,1014,243,42,54,54,27,21,21,15,1818,1485,36,1857
512700,105,156,735,174,30,24,33,18,15,12,6,1311,1047,30,1338
512801,138,144,705,174,33,30,21,18,..C,12,9,1284,1002,18,1302
512802,24,33,144,30,9,..C,..C,..C,..C,..C,..C,246,189,9,255
512902,198,168,807,228,39,15,36,18,12,15,6,1533,1173,27,1563
512903,24,75,456,69,51,30,51,6,6,15,6,789,687,45,834
512904,15,45,273,33,33,15,24,6,..C,9,..C,453,396,24,477
512905,6,6,51,15,..C,..C,..C,..C,..C,..C,..C,84,72,9,93
512906,54,120,762,150,72,51,33,15,9,9,..C,1278,1101,57,1338
513011,51,123,657,135,36,21,39,12,12,24,..C,1104,930,30,1137
513012,69,120,660,126,57,15,36,9,..C,9,..C,1110,921,45,1155
513013,39,111,633,105,60,42,33,9,12,27,..C,1074,921,72,1146
513020,126,117,603,183,39,..C,30,9,12,21,6,1149,906,27,1176
513101,36,63,303,72,12,9,33,..C,..C,12,..C,552,453,12,564
513102,63,75,327,90,15,..C,21,..C,..C,..C,..C,603,465,15,615
513211,33,69,453,75,51,27,30,..C,12,9,9,774,675,39,816
513212,30,87,579,105,66,27,27,6,9,18,12,966,849,63,1029
513213,51,96,552,87,57,30,48,6,6,15,..C,954,807,63,1014
513214,51,117,693,132,51,24,48,9,6,9,6,1143,978,42,1188
513220,141,327,1857,387,147,39,132,21,21,45,24,3141,2670,87,3228
513301,69,135,810,120,78,75,6,18,18,66,9,1410,1203,102,1512
513302,78,195,984,153,87,78,39,12,15,102,12,1755,1485,105,1860
513410,117,90,435,105,21,6,..C,..C,81,126,9,1002,792,33,1035
513420,69,99,519,147,21,9,..C,9,15,6,9,900,732,24,927
513431,39,51,327,66,15,15,..C,..C,18,15,15,564,474,9,573
513432,102,105,603,159,27,18,..C,9,6,15,24,1071,864,24,1098
513511,33,45,360,54,18,12,..C,..C,..C,15,6,555,477,21,573
513512,45,120,774,147,66,33,9,9,..C,18,9,1233,1071,42,1275
513521,87,222,1293,240,99,48,..C,24,12,33,24,2085,1773,69,2157
513522,198,261,1539,420,93,36,..C,18,12,27,66,2682,2226,75,2757
513530,132,270,1575,312,120,57,..C,24,24,30,24,2574,2175,102,2676
513610,12,18,93,24,6,..C,..C,..C,..C,6,..C,171,144,..C,174
513621,30,24,135,51,6,..C,..C,..C,..C,..C,..C,267,210,..C,270
513622,27,60,354,72,33,21,..C,9,..C,9,..C,597,513,30,624
513631,72,216,1329,252,123,81,12,18,15,30,18,2160,1872,144,2304
513632,48,177,1017,195,84,69,12,21,18,18,9,1668,1443,69,1737
513701,84,48,228,66,9,..C,6,..C,..C,..C,..C,450,318,15,465
513702,108,114,525,165,27,..C,33,15,..C,6,..C,1008,786,9,1014
513800,168,159,657,180,36,6,24,15,9,18,..C,1275,951,36,1311
514000,207,186,795,147,54,153,9,27,69,597,30,2265,1875,63,2331
514101,135,201,681,150,51,225,69,21,27,1071,24,2658,2319,81,2739
514102,246,597,876,135,111,876,117,33,33,2769,51,5844,5001,312,6156
514103,204,468,582,87,75,645,120,24,48,2118,54,4425,3753,300,4725
514200,66,87,258,45,18,150,6,15,24,333,18,1020,867,54,1074
514301,75,153,300,51,24,171,9,9,12,450,15,1275,1047,72,1344
514302,24,72,99,9,6,42,..C,..C,9,162,..C,432,339,24,453
514401,135,213,1212,192,102,168,90,27,54,60,21,2268,1920,99,2367
514402,108,222,1428,204,135,213,63,21,15,45,27,2478,2148,132,2610
514500,117,252,1596,234,105,213,18,33,33,30,21,2658,2286,132,2787
514600,99,219,1380,225,96,198,33,12,18,42,24,2346,2028,87,2433
514700,186,270,1500,285,93,213,18,24,15,51,24,2682,2226,84,2763
514801,90,159,1029,138,123,141,21,15,30,54,12,1809,1560,102,1911
514802,84,192,1035,129,123,114,48,15,21,54,18,1833,1557,111,1944
514900,78,138,804,135,63,132,9,27,36,24,9,1452,1233,63,1512
515001,120,120,834,174,39,111,..C,30,51,48,15,1548,1308,57,1602
515002,189,240,1185,210,69,165,..C,27,72,45,21,2223,1791,66,2289
515003,42,87,318,54,21,45,18,..C,24,48,6,666,540,30,696
515100,273,252,1374,246,69,207,..C,63,75,90,30,2685,2160,72,2757
515201,192,123,753,123,42,111,..C,27,30,111,18,1536,1218,39,1575
515202,186,126,729,141,39,138,..C,21,48,360,21,1815,1506,48,1863
515301,132,105,630,117,39,126,..C,21,30,96,15,1314,1077,36,1353
515302,165,153,876,153,66,219,6,27,54,309,36,2064,1743,51,2115
515410,183,180,930,123,45,213,..C,36,60,216,30,2019,1659,69,2091
515420,165,159,822,129,51,216,9,18,63,351,39,2022,1698,54,2076
515431,117,123,636,102,42,150,..C,21,45,102,24,1362,1125,63,1428
515432,21,42,225,54,12,45,12,9,18,18,..C,459,393,9,465
515500,48,75,402,78,39,150,9,15,33,153,12,1020,897,36,1053
515600,93,141,555,96,57,222,27,18,45,351,9,1614,1380,48,1662
515700,150,147,753,129,54,135,21,15,27,177,6,1608,1311,60,1665
515801,126,156,900,120,60,132,6,12,15,75,9,1611,1329,54,1662
515802,144,180,945,150,57,126,..C,21,21,51,12,1710,1389,33,1740
515901,126,108,561,111,33,105,..C,24,27,162,15,1278,1041,33,1311
515902,270,234,1044,192,69,255,12,54,51,585,36,2799,2295,81,2877
516001,72,60,267,51,18,54,30,..C,9,66,6,642,510,24,666
516002,162,168,984,153,60,150,48,18,15,72,15,1842,1509,54,1896
516003,183,189,1221,243,78,159,72,30,33,54,15,2286,1911,63,2349
516101,189,165,777,156,42,90,102,24,30,120,21,1716,1362,27,1740
516102,213,192,1020,168,48,87,27,18,21,63,18,1881,1479,54,1935
516201,171,162,984,165,51,57,69,15,18,33,6,1731,1398,30,1761
516202,228,192,1032,153,45,99,42,18,24,36,24,1884,1464,36,1920
516301,273,303,1806,351,66,129,231,36,57,51,18,3321,2748,66,3390
516302,234,219,1452,255,81,168,78,36,33,36,15,2601,2148,51,2649
516400,228,222,1311,258,93,183,60,42,69,60,30,2556,2109,90,2649
516500,297,243,1506,303,72,177,45,42,63,57,21,2829,2289,66,2898
516601,213,147,945,165,51,75,24,24,42,24,18,1725,1368,33,1758
516602,234,180,1071,198,42,75,24,27,48,18,18,1935,1521,33,1965
516700,273,258,1287,264,69,114,12,21,57,63,30,2448,1917,42,2493
516800,240,201,1086,237,30,84,24,33,54,30,15,2043,1602,33,2076
516900,225,273,1476,321,81,93,48,30,48,66,18,2682,2184,72,2754
517001,72,120,726,135,90,60,75,18,18,45,12,1365,1176,102,1467
517002,39,81,432,60,45,48,24,..C,9,27,6,777,657,99,873
517100,39,90,540,69,75,39,48,6,12,48,12,984,849,126,1110
517201,60,114,726,99,51,75,72,15,15,54,12,1293,1119,57,1350
517202,81,84,750,153,42,33,48,9,9,15,6,1230,1068,12,1242
517400,63,126,519,48,27,207,81,15,36,357,18,1500,1311,48,1548
517500,168,243,1194,228,69,354,177,42,87,228,33,2820,2409,66,2886
517600,132,216,1251,168,93,261,114,36,66,135,21,2490,2139,96,2586
517701,108,159,747,123,63,198,39,39,42,84,15,1617,1350,48,1668
517702,111,222,1185,156,87,315,15,48,42,90,18,2289,1956,90,2379
517703,87,123,768,120,48,228,9,15,33,60,18,1506,1296,54,1560
517800,195,288,1413,246,84,222,132,30,69,123,27,2829,2346,78,2907
517901,75,123,663,84,42,126,78,21,30,51,9,1296,1098,39,1335
517902,39,114,531,72,54,102,18,15,12,33,..C,999,843,75,1077
517903,138,195,1041,177,72,156,39,24,36,66,18,1962,1629,72,2031
518101,90,135,693,102,60,270,39,21,54,261,12,1743,1515,84,1827
518102,108,126,627,93,42,249,9,21,57,153,21,1500,1269,45,1545
518201,192,270,1428,225,66,348,18,33,81,135,36,2829,2367,72,2904
518202,105,150,645,108,45,174,6,24,39,75,6,1371,1116,54,1428
518301,150,186,1062,159,51,279,..C,27,42,75,21,2055,1716,51,2109
518302,195,225,1374,243,57,321,..C,36,45,51,33,2586,2166,51,2637
518500,135,231,1281,180,108,318,..C,30,39,84,30,2442,2076,96,2538
518600,195,291,1491,279,105,243,9,42,39,84,12,2787,2301,69,2856
518701,159,342,2070,252,150,324,..C,36,27,60,24,3450,2949,123,3573
518702,114,201,1221,213,87,138,12,21,27,36,18,2088,1770,66,2151
518801,39,123,609,57,90,135,..C,6,6,42,12,1116,954,105,1224
518802,39,117,573,60,42,99,..C,..C,6,30,18,993,837,75,1068
518803,78,189,1098,108,102,243,..C,18,12,81,24,1950,1680,108,2058
518901,102,210,1548,201,114,234,..C,24,12,39,18,2499,2187,108,2610
518902,132,186,1251,189,78,210,..C,12,12,24,18,2112,1797,57,2169
519001,96,171,972,180,78,150,..C,12,6,21,9,1695,1428,42,1737
519002,87,177,1077,150,87,159,..C,15,15,15,18,1809,1545,90,1899
519200,210,180,966,144,33,144,42,18,27,123,27,1905,1521,60,1968
519300,105,144,642,135,51,102,..C,15,21,66,12,1293,1047,42,1338
519400,195,258,1551,312,84,180,99,39,42,108,24,2892,2442,69,2964
519500,33,24,180,30,12,12,21,..C,..C,33,..C,354,297,12,363
519710,84,180,942,147,69,135,18,27,21,72,18,1713,1449,72,1788
519720,108,159,1146,216,63,108,27,21,30,54,12,1941,1674,36,1977
519810,129,171,1146,195,72,81,39,21,36,72,15,1980,1677,51,2025
519820,81,141,951,126,60,117,93,24,27,90,18,1734,1509,57,1791
519900,81,123,849,141,87,90,30,21,33,51,12,1521,1317,87,1611
520000,60,132,897,153,63,45,102,6,27,66,15,1569,1377,66,1638
520201,195,294,1953,372,81,165,198,30,45,138,24,3492,3006,75,3567
520202,54,96,612,129,42,66,81,6,9,69,12,1173,1023,36,1209
520301,27,66,438,75,39,51,54,6,6,27,..C,795,699,27,819
520302,54,108,756,96,51,111,36,12,12,45,9,1290,1128,39,1329
520303,54,120,825,93,75,78,39,9,6,48,6,1356,1182,78,1437
520401,81,171,1371,207,99,156,42,12,21,54,21,2235,1986,90,2328
520402,108,204,1356,210,123,87,87,18,30,90,18,2334,2022,117,2451
520500,81,168,1278,141,168,111,33,15,12,78,21,2109,1857,141,2250
520601,57,111,705,111,93,75,63,9,15,57,9,1302,1134,108,1413
520602,60,126,816,159,57,57,63,12,12,39,9,1413,1230,48,1464
520801,639,459,1131,246,90,72,..C,48,54,225,693,3660,2562,243,3903
520803,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C
520804,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C
520900,9,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,30,15,9,36
521000,81,48,126,21,9,..C,..C,..C,..C,33,9,339,207,21,360
521111,60,66,285,96,12,..C,12,..C,..C,..C,..C,537,417,12,549
521112,72,12,126,39,9,..C,..C,..C,..C,6,..C,273,189,12,285
521114,21,6,51,12,9,..C,..C,..C,..C,..C,..C,102,75,12,114
521115,21,12,57,15,..C,..C,..C,..C,..C,..C,..C,111,78,..C,114
521116,9,33,150,45,6,..C,..C,..C,..C,9,..C,264,222,9,270
521117,90,42,219,72,12,..C,..C,..C,..C,6,..C,450,318,24,474
