AU,worked_at_home,did_not_go_to_work_today,drove_private_car_truck_van,drove_company_car_truck_van,passenger_car_truck_van,bus,train,motorcycle_powercycle,bicycle,walked_jogged,other,total_stated,total_went_to_work,not_elsewhere_included,total
500100,9,9,69,12,12,..C,..C,..C,..C,9,..C,120,102,9,129
500202,339,183,771,189,51,9,..C,18,6,36,21,1623,1101,75,1701
500203,75,63,264,69,21,..C,..C,..C,..C,54,12,567,429,21,588
500204,123,69,435,105,15,..C,..C,21,..C,12,..C,786,594,45,831
500205,36,39,219,42,15,..C,..C,..C,..C,15,..C,378,306,21,399
500206,18,12,51,18,9,..C,..C,9,..C,9,..C,126,99,15,141
500207,75,39,141,36,9,..C,..C,12,..C,12,12,333,222,24,360
500208,123,60,387,78,21,..C,..C,9,..C,9,15,702,522,33,738
500301,54,105,390,93,48,..C,..C,..C,18,69,15,792,633,66,861
500302,24,51,246,54,21,..C,..C,..C,6,33,15,450,378,30,480
500401,15,12,54,15,12,..C,..C,..C,..C,12,..C,120,93,15,138
500402,219,117,372,93,33,..C,..C,21,..C,27,24,915,576,54,969
500500,12,9,12,..C,..C,..C,..C,..C,..C,6,..C,48,30,..C,51
500600,21,18,54,12,..C,..C,..C,..C,..C,30,..C,138,99,9,147
500700,15,9,48,12,..C,..C,..C,..C,..C,18,..C,108,84,15,126
500801,165,30,183,36,18,..C,..C,15,..C,21,..C,480,282,63,543
500802,204,75,297,48,33,6,..C,18,..C,27,9,723,441,90,810
500900,381,288,1308,330,96,..C,..C,9,27,147,12,2604,1935,93,2700
501000,84,45,105,33,9,..C,..C,..C,..C,57,6,336,210,21,354
501100,120,93,300,72,24,..C,..C,..C,..C,108,6,729,519,36,765
501200,33,45,210,39,15,..C,..C,..C,..C,15,..C,360,282,18,378
501300,12,15,75,18,..C,..C,..C,..C,..C,12,..C,129,105,9,138
501400,18,33,198,36,27,..C,..C,..C,9,42,..C,363,318,27,393
501500,18,27,198,21,21,..C,..C,..C,6,27,..C,318,273,45,363
501612,18,12,63,15,..C,..C,..C,..C,..C,..C,..C,114,84,..C,117
501613,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C
501614,255,141,594,186,36,..C,..C,9,6,30,9,1266,870,30,1296
501615,81,33,171,48,12,..C,..C,6,..C,18,..C,372,255,9,381
501620,243,84,363,87,21,..C,..C,18,..C,27,27,873,546,75,948
501631,30,21,117,39,9,..C,..C,..C,..C,21,..C,249,201,9,258
501632,63,24,150,36,9,..C,..C,6,..C,6,..C,297,210,15,312
501633,330,180,765,210,42,..C,..C,24,9,24,15,1608,1095,66,1674
501634,138,63,378,57,24,..C,..C,27,..C,27,9,732,528,81,810
501700,42,105,468,99,45,..C,..C,..C,..C,117,9,900,750,102,999
501802,423,252,993,330,72,..C,..C,78,9,39,21,2223,1551,66,2292
501806,120,171,789,177,63,..C,..C,12,24,36,..C,1389,1101,48,1440
501807,81,96,354,96,18,..C,..C,..C,..C,27,9,690,513,24,711
501809,354,171,906,234,57,..C,..C,39,..C,27,12,1812,1284,48,1860
501810,90,87,327,93,15,..C,..C,..C,6,18,..C,639,459,21,660
501811,201,114,438,93,30,..C,..C,33,..C,15,9,936,621,51,987
501813,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C
501814,366,228,819,210,48,..C,..C,33,6,30,6,1755,1161,69,1818
501815,93,42,210,36,12,..C,..C,12,..C,..C,..C,414,276,15,429
501816,153,75,312,81,21,..C,..C,..C,15,48,..C,711,486,27,738
501817,84,66,273,72,12,..C,..C,..C,6,9,..C,534,381,24,558
501818,111,114,525,138,33,..C,..C,9,6,12,9,957,732,24,981
501819,102,72,297,84,24,..C,..C,9,..C,9,9,618,444,15,633
502001,66,81,390,102,21,..C,..C,..C,..C,15,6,687,537,18,705
502002,36,54,234,111,21,..C,..C,..C,..C,12,..C,486,393,12,495
502003,54,66,297,111,21,..C,..C,..C,9,..C,..C,564,444,..C,570
502004,36,39,165,60,15,..C,..C,..C,..C,..C,..C,324,249,9,333
502005,51,66,276,69,18,..C,..C,..C,6,6,..C,504,384,15,522
502101,66,174,813,183,60,15,..C,6,15,45,..C,1383,1140,42,1425
502102,45,153,735,156,72,15,..C,15,21,54,9,1278,1080,57,1335
502201,36,123,555,105,57,15,..C,..C,9,36,..C,939,783,36,975
502202,48,111,636,147,63,9,..C,6,12,12,..C,1050,888,33,1083
502300,48,114,489,123,42,..C,..C,9,15,27,6,879,717,45,927
502400,12,51,159,15,33,6,..C,..C,9,24,..C,321,258,54,372
502500,9,12,63,12,..C,..C,..C,..C,..C,..C,..C,111,87,..C,114
502600,27,57,264,45,24,..C,..C,..C,18,42,..C,486,399,21,507
502700,45,78,450,93,54,9,..C,9,30,69,6,840,714,39,879
502800,45,66,258,57,27,..C,..C,..C,9,135,..C,603,495,30,636
502900,33,66,360,75,45,..C,..C,..C,15,87,9,693,594,27,720
503000,30,51,216,36,36,9,..C,6,12,108,9,507,426,39,546
503100,18,12,24,..C,6,..C,..C,..C,..C,15,..C,87,57,..C,87
503200,27,39,162,33,12,..C,..C,..C,12,51,..C,342,276,9,354
503300,30,51,264,39,24,..C,..C,..C,..C,48,..C,465,387,18,483
503400,21,72,294,87,24,..C,..C,..C,12,12,..C,531,441,15,546
503500,18,54,237,30,36,..C,..C,6,9,39,..C,432,363,33,465
503600,30,102,426,78,45,9,..C,..C,21,81,..C,792,663,30,822
503700,36,69,321,81,24,..C,..C,..C,12,18,..C,567,465,18,588
503800,24,96,492,93,66,6,..C,..C,15,36,..C,834,717,75,912
503900,..C,..C,6,..C,..C,..C,..C,..C,..C,..C,..C,18,15,..C,18
504000,69,180,843,174,81,24,..C,18,15,24,9,1434,1185,51,1485
504100,39,99,468,111,30,18,..C,6,12,15,6,801,666,30,831
504300,27,57,246,51,33,..C,..C,6,..C,15,..C,435,354,27,465
504400,12,21,63,9,12,..C,..C,..C,..C,..C,..C,120,84,12,132
504501,375,123,516,120,24,..C,..C,90,..C,45,12,1305,813,93,1398
504502,303,63,318,63,12,..C,..C,36,..C,24,..C,831,459,48,879
504600,90,159,738,186,96,..C,..C,9,27,177,18,1503,1251,72,1575
504700,15,36,126,60,18,..C,..C,..C,..C,27,..C,291,234,12,300
504800,9,9,54,18,..C,..C,..C,..C,..C,24,..C,126,108,9,135
504900,21,30,123,33,12,..C,..C,..C,..C,15,..C,243,189,15,258
505010,672,240,906,225,72,..C,..C,96,..C,69,24,2313,1401,132,2445
505021,114,72,216,90,12,..C,..C,..C,6,15,..C,537,348,18,558
505022,72,54,210,66,9,..C,..C,..C,..C,24,..C,435,309,9,447
505300,42,81,285,99,30,..C,..C,..C,..C,42,..C,588,468,30,618
505400,27,36,81,15,..C,..C,..C,..C,..C,9,..C,180,117,..C,186
505500,132,198,795,246,81,..C,..C,15,9,117,12,1599,1275,48,1650
505601,48,54,276,90,15,9,..C,6,..C,18,..C,513,411,9,519
505602,72,69,426,126,30,..C,..C,..C,6,12,..C,759,618,21,777
505603,60,57,357,105,21,9,..C,..C,6,15,6,639,522,15,660
505604,153,69,330,111,15,6,..C,..C,..C,24,..C,711,492,27,738
505605,180,96,438,141,15,12,..C,9,..C,15,6,915,642,33,948
505700,87,51,225,66,9,..C,9,..C,..C,6,..C,456,321,12,468
505803,21,18,72,12,..C,..C,..C,..C,..C,9,..C,138,102,..C,138
505804,42,84,360,102,21,21,..C,..C,..C,9,..C,648,522,18,666
505805,306,393,1614,411,93,138,..C,24,21,171,12,3183,2487,102,3288
505806,63,72,489,162,27,60,..C,9,..C,15,..C,903,768,12,915
505807,69,120,552,138,39,42,..C,9,..C,27,..C,1008,819,45,1053
505808,177,222,984,309,54,84,..C,9,9,42,6,1893,1497,45,1941
505902,303,414,1515,468,66,123,..C,21,9,54,27,3003,2283,72,3072
505904,165,231,918,258,54,63,..C,18,..C,27,66,1803,1404,45,1848
505906,87,138,684,213,54,54,..C,..C,..C,15,..C,1263,1035,24,1284
505907,84,156,687,183,54,51,..C,12,9,24,6,1269,1029,30,1299
505908,81,117,630,162,39,51,..C,15,..C,33,..C,1134,936,24,1158
505909,144,189,828,201,57,57,..C,12,..C,39,12,1542,1212,24,1566
505910,114,150,552,180,39,39,..C,15,..C,15,45,1152,888,33,1185
505911,..C,..C,12,..C,..C,..C,..C,..C,..C,..C,..C,15,12,..C,15
506001,33,15,108,30,6,12,..C,..C,..C,9,..C,219,168,..C,225
506002,36,51,279,93,12,15,..C,9,..C,..C,..C,501,414,12,516
506003,90,66,279,111,12,21,..C,..C,..C,9,6,597,441,15,609
506201,72,42,201,54,15,..C,..C,..C,..C,..C,..C,402,285,9,411
506202,6,9,24,9,..C,..C,..C,..C,..C,..C,..C,48,30,..C,48
506300,204,135,726,213,36,51,..C,12,..C,9,..C,1389,1050,33,1419
506400,72,39,198,81,..C,9,..C,6,..C,..C,..C,411,300,6,417
506613,444,267,1032,291,81,21,..C,39,..C,36,21,2241,1527,84,2322
506614,321,222,966,300,39,69,..C,18,..C,15,15,1974,1428,54,2028
506616,12,..C,27,..C,..C,..C,..C,..C,..C,..C,..C,51,36,..C,54
506620,9,6,..C,..C,..C,..C,..C,..C,..C,..C,..C,30,12,..C,33
506631,183,207,765,195,54,..C,..C,12,..C,39,12,1473,1080,36,1509
506633,33,39,126,30,15,..C,..C,..C,..C,..C,..C,246,174,9,255
506634,45,21,60,30,6,..C,..C,..C,..C,..C,..C,165,102,6,171
506642,159,66,297,102,30,..C,..C,..C,..C,9,..C,678,450,36,714
506644,72,24,132,27,9,9,..C,6,..C,..C,..C,288,192,6,297
506645,21,36,207,39,27,..C,..C,..C,..C,18,..C,354,297,15,369
506646,204,123,615,201,36,12,..C,12,..C,9,6,1221,894,36,1254
506647,21,21,129,33,9,6,..C,..C,..C,..C,..C,228,183,..C,231
506648,30,33,168,57,12,..C,..C,..C,..C,..C,..C,312,249,..C,318
506652,183,96,537,126,24,9,..C,9,..C,6,..C,1008,726,33,1038
506653,306,147,789,261,27,42,..C,12,..C,12,6,1608,1152,54,1662
506654,60,63,333,72,6,..C,..C,6,..C,9,..C,561,435,12,573
506655,69,48,222,57,9,..C,..C,..C,..C,..C,..C,411,297,..C,414
506656,45,33,177,42,6,..C,9,..C,..C,..C,..C,315,240,..C,318
506657,15,36,96,30,..C,..C,..C,..C,..C,..C,..C,183,132,6,186
506658,63,42,108,39,..C,..C,..C,..C,..C,..C,..C,267,159,15,282
506659,15,27,51,18,..C,..C,..C,..C,..C,6,..C,126,81,..C,129
506660,333,144,552,165,27,..C,..C,51,..C,36,12,1326,849,78,1401
506661,360,180,618,186,30,..C,..C,9,6,27,12,1431,894,42,1473
506800,63,138,573,159,39,24,..C,6,..C,69,..C,1077,873,51,1128
506901,132,204,1035,228,54,165,..C,27,9,12,12,1884,1548,33,1914
506902,105,174,951,264,51,135,..C,15,..C,12,9,1719,1443,39,1758
506903,234,279,1308,336,75,177,..C,21,12,36,12,2493,1983,42,2535
507000,180,252,1206,264,66,192,..C,27,15,30,12,2247,1815,42,2286
507101,135,207,1083,243,63,183,..C,15,9,51,9,1998,1656,42,2040
507102,171,249,1317,270,63,180,..C,21,9,27,21,2334,1914,57,2388
507200,243,336,1425,387,75,216,..C,24,15,33,18,2775,2196,45,2820
507300,207,264,1269,315,60,186,..C,18,21,39,15,2391,1920,51,2442
507400,273,291,1392,324,57,204,..C,21,18,51,18,2649,2088,48,2697
507500,141,150,639,132,42,78,..C,6,9,9,6,1215,924,24,1239
507710,174,144,822,177,39,105,..C,12,18,15,12,1518,1200,30,1545
507720,159,168,972,204,39,153,..C,12,24,39,12,1785,1455,27,1812
507800,261,291,1263,273,60,204,..C,21,30,114,15,2532,1980,72,2601
507900,150,237,1125,192,54,249,..C,12,21,246,15,2304,1917,66,2370
508010,204,153,735,153,33,150,..C,12,21,174,15,1650,1296,42,1692
508020,267,321,1479,273,69,285,..C,33,54,165,72,3021,2433,84,3105
508110,105,177,789,141,36,102,6,18,48,72,132,1626,1347,63,1689
508120,123,147,546,117,33,27,6,9,39,39,159,1248,978,57,1305
508210,87,225,1227,216,90,216,..C,15,12,42,21,2157,1845,72,2229
508220,99,177,1059,174,78,144,..C,18,9,21,30,1815,1533,57,1869
508310,126,246,1308,177,93,252,..C,21,9,81,18,2340,1968,69,2412
508320,108,159,1239,168,87,177,..C,12,9,84,15,2061,1797,69,2130
508411,129,270,1578,276,90,219,..C,27,18,51,18,2679,2280,78,2754
508412,69,159,957,159,66,138,..C,15,6,24,15,1608,1380,39,1644
508420,138,315,1890,303,126,318,..C,24,24,81,27,3249,2793,96,3348
508510,183,285,1455,267,84,246,..C,12,24,75,15,2652,2181,63,2715
508520,183,357,1773,291,108,369,..C,12,15,66,24,3195,2655,87,3282
508610,156,273,1368,258,102,231,..C,33,24,39,30,2514,2085,57,2574
508620,99,162,828,132,54,114,..C,15,9,51,15,1485,1227,36,1521
508701,129,135,831,150,42,120,..C,12,15,42,9,1485,1221,39,1524
508703,99,117,741,147,51,138,..C,6,..C,6,..C,1308,1095,30,1338
508704,114,189,1155,192,60,213,..C,15,9,48,6,2001,1698,48,2046
508803,126,252,1569,270,96,249,..C,24,9,36,18,2643,2265,66,2709
508804,132,156,993,165,66,138,..C,12,..C,39,9,1713,1425,51,1761
508805,63,93,396,72,27,87,..C,6,6,27,..C,780,627,15,795
508806,183,240,1272,303,60,144,..C,9,9,45,18,2286,1863,60,2346
508807,165,168,1038,204,72,108,..C,12,9,75,9,1860,1524,42,1902
508900,48,60,264,54,9,12,..C,..C,..C,..C,..C,465,357,18,480
509000,108,138,618,144,39,57,..C,6,..C,21,9,1149,900,51,1203
509100,411,426,2364,624,90,216,..C,27,18,48,42,4269,3432,84,4353
509300,159,216,819,144,39,51,9,18,66,66,240,1833,1458,66,1899
509400,357,291,876,162,39,48,18,15,72,165,522,2568,1923,138,2703
509500,150,99,300,57,15,12,9,15,30,195,237,1119,867,66,1182
509701,129,219,1173,195,63,231,..C,24,15,69,24,2148,1797,48,2196
509702,105,180,903,138,66,174,..C,12,12,57,12,1665,1380,93,1758
509800,192,240,1134,228,54,231,..C,21,9,51,66,2226,1791,57,2283
510010,138,273,1341,276,114,234,..C,30,12,36,48,2514,2100,69,2580
510020,177,225,1227,267,102,198,..C,36,15,27,39,2310,1908,63,2373
510210,57,129,768,153,63,126,..C,24,9,30,12,1368,1182,45,1413
510220,99,198,1110,228,87,186,..C,18,15,42,39,2022,1722,51,2076
510401,156,201,1116,198,84,246,..C,39,12,48,54,2148,1791,42,2187
510402,162,189,1008,204,69,171,..C,21,6,48,39,1923,1569,36,1962
510500,225,195,1077,228,51,198,..C,24,18,84,117,2220,1800,54,2277
510700,96,273,1137,216,99,66,69,12,18,129,18,2133,1764,108,2241
510800,75,177,987,162,99,78,48,15,24,75,6,1746,1491,96,1845
511001,66,141,798,153,66,54,42,12,12,15,6,1371,1164,51,1422
511002,90,198,1161,234,72,78,96,24,12,27,..C,1998,1710,69,2067
511100,144,327,1602,270,135,108,171,36,15,69,24,2907,2436,129,3036
511301,39,108,600,69,45,72,39,12,12,42,..C,1047,900,39,1086
511302,48,99,666,81,60,78,63,12,12,39,6,1167,1017,42,1206
511303,33,75,501,51,42,87,75,..C,6,60,6,942,834,39,981
511401,102,174,1017,144,87,81,99,15,12,57,15,1809,1530,66,1878
511402,78,162,1071,189,66,81,84,18,12,39,15,1812,1572,63,1875
511601,81,177,1137,189,87,81,30,18,12,24,15,1845,1590,90,1938
511602,45,99,663,99,69,60,24,..C,..C,9,6,1083,939,42,1122
511700,60,150,963,99,99,93,33,9,9,36,21,1569,1359,105,1671
511800,78,159,1041,165,81,63,69,15,15,24,15,1722,1488,72,1797
511901,135,177,891,177,48,45,39,21,6,27,9,1575,1260,33,1608
